5		
165		
71		
39		
21		
13		
112	0	177
243	177	329
416	329	416
417	416	422
428	422	533
638	533	766
895	766	1001
1108	1001	1195
1283	1195	1365
1448	1365	1508
1568	1508	1599
1631	1599	1760
1890	1760	2136
2383	2136	2553
2723	2553	2834
2945	2834	3004
3063	3004	3080
3098	3080	3116
3135	3116	3165
3196	3165	3312
3429	3312	3606
3784	3606	3841
3898	3841	3946
3994	3946	4081
4168	4081	4270
4372	4270	4475
4578	4475	4817
5056	4817	5120
5185	5120	5294
5404	5294	5405
5407	5405	5774
6142	5774	6185
6229	6185	6258
6288	6258	6363
6438	6363	6439
6440	6439	6485
6530	6485	6662
6794	6662	6828
6862	6828	7085
7308	7085	7355
7402	7355	7498
7594	7498	7672
7750	7672	7864
7978	7864	8075
8173	8075	8308
8443	8308	8504
8566	8504	8654
8743	8654	8842
8942	8842	9089
9236	9089	9361
9486	9361	9758
10030	9758	10108
10186	10108	10250
10315	10250	10320
10326	10320	10362
10399	10362	10525
10652	10525	10926
11201	10926	11210
11219	11210	11257
11295	11257	11396
11497	11396	11542
11587	11542	11683
11779	11683	11917
12055	11917	12131
12208	12131	12242
12277	12242	12411
12545	12411	12703
12861	12703	12959
13057	12959	13124
13192	13124	13298
13405	13298	13512
13620	13512	13864
14108	13864	14305
14503	14305	14503
14504	14503	14504
14505	14504	14692
14880	14692	14881
14882	14881	14889
14897	14889	14990
15083	14990	15507
15932	15507	15984
16036	15984	16068
16100	16068	16134
16168	16134	16216
16264	16216	16358
16453	16358	16565
16677	16565	16751
16826	16751	16954
17082	16954	17219
17356	17219	17387
17419	17387	17459
17500	17459	17620
17740	17620	17857
17974	17857	18066
18158	18066	18286
18415	18286	18526
18638	18526	18893
19149	18893	19154
19160	19154	19229
19299	19229	19332
19366	19332	19470
19574	19470	19692
19811	19692	19977
20143	19977	20239
20335	20239	20428
20522	20428	20623
20725	20623	20809
20894	20809	20946
20998	20946	21062
21126	21062	21392
21658	21392	21700
21743	21700	21783
21824	21783	21951
22078	21951	22253
22429	22253	22535
22641	22535	22674
22707	22674	22759
22812	22759	22905
22999	22905	23031
23063	23031	23203
23343	23203	23488
23634	23488	23684
23734	23684	23881
24028	23881	24191
24355	24191	24415
24475	24415	24518
24561	24518	24858
25156	24858	25160
25165	25160	25358
25552	25358	25658
25765	25658	25838
25912	25838	26077
26242	26077	26362
26483	26362	26504
26525	26504	26527
26529	26527	26530
26532	26530	26675
26818	26675	26819
26820	26819	27152
27485	27152	27762
28039	27762	28039
28040	28039	28041
28042	28041	28044
28046	28044	28111
28176	28111	28265
28354	28265	28488
28623	28488	28708
28793	28708	28869
28945	28869	29068
29192	29068	29332
29473	29332	29633
29794	29633	29835
29877	29835	30102
30327	30102	30390
30453	30390	30542
30632	30542	30676
30720	30676	30743
30767	30743	31144
31521	31144	31537
31554	31537	31554
31555	31554	31673
31791	31673	31799
31808	31799	31917
32026	31917	32031
32037	32031	32039
112	0	177
243	177	330
417	330	422
428	422	661
895	661	1001
1108	1001	1278
1448	1278	1539
1631	1539	1760
1890	1760	2417
2945	2417	3040
3135	3040	3459
3784	3459	3841
3898	3841	3946
3994	3946	4699
5404	4699	5846
6288	5846	6363
6438	6363	6439
6440	6439	6485
6530	6485	6662
6794	6662	7098
7402	7098	7690
7978	7690	8460
8942	8460	9486
10030	9486	10182
10335	10182	10493
10652	10493	10935
11219	10935	11257
11295	11257	11396
11497	11396	12512
13528	12512	13818
14108	13818	14305
14503	14305	14503
14504	14503	14504
14505	14504	14693
14882	14693	15491
16100	15491	16276
16453	16276	16565
16677	16565	16874
17071	16874	17077
17083	17077	17291
17500	17291	17620
17740	17620	18444
19149	18444	19224
19299	19224	19910
20522	19910	20824
21126	20824	21392
21658	21392	21700
21743	21700	21783
21824	21783	22411
22999	22411	23031
23063	23031	23545
24028	23545	24251
24475	24251	24815
25156	24815	25699
26242	25699	26362
26483	26362	26504
26525	26504	26527
26529	26527	26530
26531	26530	27257
27983	27257	28012
28042	28012	28109
28176	28109	28345
28514	28345	28729
28945	28729	29209
29473	29209	29900
30327	29900	30547
30767	30547	31279
31791	31279	31799
31808	31799	31917
32026	31917	32031
32037	32031	32039
236	0	297
358	297	395
432	395	780
1128	780	1289
1450	1289	1534
1618	1534	2046
2475	2046	2613
2752	2613	2870
2989	2870	4271
5554	4271	5921
6288	5921	6362
6436	6362	6438
6440	6438	7959
9478	7959	9754
10030	9754	10595
11161	10595	11233
11306	11233	12416
13527	12416	13976
14425	13976	14458
14492	14458	15552
16612	15552	16841
17071	16841	17133
17196	17133	18960
20725	18960	21149
21574	21149	21663
21752	21663	23053
24355	23053	24458
24561	24458	24875
25189	24875	25550
25912	25550	26197
26483	26197	26505
26528	26505	26529
26530	26529	27287
28044	27287	28110
28176	28110	29437
30698	29437	30729
30761	30729	31286
31811	31286	31924
32037	31924	32039
358	0	743
1128	743	1289
1450	1289	1962
2475	1962	2794
3114	2794	4701
6288	4701	8159
10030	8159	10595
11161	10595	11225
11290	11225	12408
13527	12408	13976
14425	13976	14458
14492	14458	19423
24355	19423	24772
25189	24772	25550
25912	25550	26197
26483	26197	26505
26528	26505	27352
28176	27352	29437
30698	29437	31249
31800	31249	31918
32037	31918	32039
358	0	904
1450	904	2022
2594	2022	4441
6288	4441	8303
10319	8303	11923
13527	11923	18941
24355	18941	24772
25189	24772	25857
26526	25857	27285
28044	27285	28110
28176	28110	29993
31811	29993	31924
32037	31924	32039

